mean,vol,sharpe,mdd,hhi,trial,method,shrinkage,denoising,detone,views,view_branch
0.003494383868367795,0.12918266979989806,0.027049943105785713,-0.9069127951590795,0.03476798482752021,0,Markowitz,lw_constant_corr,mp_constant,True,False,none
0.012084376834524319,0.11898832977868296,0.1015593449954258,-0.7633032252434208,0.047169585965312615,0,NCO,lw_constant_corr,mp_constant,True,False,none
0.011008415689723446,0.10906826588709065,0.10093142675449351,-0.7133016186363649,0.02356339611897453,0,IVP,lw_constant_corr,mp_constant,True,False,none
0.013629011018723405,0.1136225781677309,0.11994984833458151,-0.7277410206432386,0.06038398169057844,0,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
0.016218459659539868,0.12591200455698426,0.1288078902124939,-0.9136508380289552,0.02920273547948922,1,Markowitz,lw_constant_corr,mp_constant,True,False,none
0.011838863479722529,0.12389679877565112,0.09555423220469529,-0.9301347520164669,0.08512213118470391,1,NCO,lw_constant_corr,mp_constant,True,False,none
0.01281223655403762,0.11965962785144856,0.1070723416408774,-0.8982001635086561,0.024261833180880876,1,IVP,lw_constant_corr,mp_constant,True,False,none
0.014080584628983579,0.11747659225848345,0.11985864041648608,-0.819494903143823,0.0799461545893747,1,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
0.002535662589537605,0.13588161441254726,0.01866082177843776,-0.98227818776227,0.08931677208660133,2,Markowitz,lw_constant_corr,mp_constant,True,False,none
-0.0020331189226961677,0.13117360929521257,-0.015499450945998104,-0.9787490177114616,0.06171953921690943,2,NCO,lw_constant_corr,mp_constant,True,False,none
-0.0013280957086238563,0.12304421904850589,-0.01079364572251466,-0.9680310827118981,0.023931386577447027,2,IVP,lw_constant_corr,mp_constant,True,False,none
-0.0016405543739938723,0.1255479656221626,-0.01306715219040716,-0.9691634304839312,0.06743444033438283,2,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
-0.00371601972010578,0.1257572970538481,-0.02954913795964512,-0.9654475134898645,0.02822513871889554,3,Markowitz,lw_constant_corr,mp_constant,True,False,none
-0.002335990380774961,0.12727953986613932,-0.018353227731757855,-0.9477397000557567,0.05400417505244855,3,NCO,lw_constant_corr,mp_constant,True,False,none
-0.0017906858088431205,0.11531569348585892,-0.015528552573351019,-0.9119366281382362,0.022702608877036387,3,IVP,lw_constant_corr,mp_constant,True,False,none
-0.0041160170144115904,0.13788413077334177,-0.029851274336622362,-0.9776144909223374,0.05083209996474151,3,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
-0.0032296338062835924,0.12209859901246813,-0.026451030825729183,-0.9741817497701742,0.025642174031743743,4,Markowitz,lw_constant_corr,mp_constant,True,False,none
-0.002516337864593651,0.13443764670688577,-0.018717509017851984,-0.985494366520955,0.07468463007064505,4,NCO,lw_constant_corr,mp_constant,True,False,none
0.0006396075139100055,0.12043914604707673,0.005310628104708479,-0.9414164681660201,0.02422058706552156,4,IVP,lw_constant_corr,mp_constant,True,False,none
-2.1133619456118134e-05,0.1322075644498934,-0.00015985181743490866,-0.9757322982837792,0.05362500640399173,4,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
-0.0047394204544119614,0.14779917088060288,-0.03206662409634596,-0.9984772577889912,0.03467022905658079,5,Markowitz,lw_constant_corr,mp_constant,True,False,none
-0.00527807962547969,0.13384881582527083,-0.03943314397588976,-0.998316397603562,0.08194296666390198,5,NCO,lw_constant_corr,mp_constant,True,False,none
-0.009172307011005715,0.13427883039870955,-0.06830791557911539,-0.9989167059444387,0.023242001603352602,5,IVP,lw_constant_corr,mp_constant,True,False,none
-0.00489635291672076,0.13494687319925464,-0.03628355960093131,-0.9982100126628298,0.0859895338236098,5,Posterior-NCO,lw_constant_corr,mp_constant,True,True,corr_blend
